Invoice ID,Date,Customer ID,Gender,Product Category,Product,Quantity,Unit Price,Total Price,Payment Method,City,Sales Channel,Rating
ed98fc7c-0a6a-4d59-81a9-dab81c3ef815,2024-04-27,76833,Male,Home,Table,8,111.78,894.24,Credit Card,Lagos,Online,4.9
e0ac7a1f-3586-41f3-a6af-6173072c2b7b,2025-03-24,11330,Male,Beauty,Perfume,6,10.33,61.98,Transfer,Kano,Online,1.3
178698cf-6b4e-4fda-a984-bc39c9a9c375,2024-05-03,37654,Female,Home,Table,2,135.9,271.8,Transfer,Ibadan,In-store,4.3
d652c8ca-3c73-4e5f-92dd-54aa04a73c4a,2024-10-18,89867,Female,Clothing,Jacket,3,322.61,967.83,Credit Card,Kano,In-store,5.0
08f613b6-2ddb-480e-b346-898a6ff9cc6d,2025-02-07,18506,Female,Beauty,Lotion,7,22.78,159.46,Transfer,Ibadan,Online,4.2
8fae25fd-a145-4542-b01d-48fc6051c100,2024-05-18,63667,Male,Beauty,Lotion,7,343.07,2401.49,Credit Card,Abuja,In-store,3.9
dfe8a99f-518a-4220-8fbb-23191e3861d5,2025-02-20,54256,Female,Electronics,Smartwatch,7,285.34,1997.38,Transfer,Kano,In-store,2.8
e33f452e-eac6-4f29-8965-383fabe7c9a9,2025-03-07,97598,Female,Clothing,Shoes,1,32.43,32.43,Transfer,Abuja,In-store,3.0
1e3ec338-d845-4273-9a89-11471ea227c9,2024-04-19,30715,Female,Groceries,Milk,10,422.05,4220.5,Cash,Abuja,Online,4.9
e29762a3-6103-4421-9349-3d9e3dd0cd66,2024-10-16,42283,Female,Clothing,Jacket,2,386.93,773.86,Cash,Lagos,Online,2.0
02bbeda1-03f9-4d3c-bb8e-e4bf7df9d958,2024-04-14,65028,Female,Electronics,Laptop,9,432.92,3896.28,Credit Card,Abuja,Online,4.1
fa399465-74e5-44d7-8395-89f22e96fa4e,2024-11-19,46356,Male,Groceries,Beans,10,364.26,3642.6,Cash,Abuja,Online,3.0
1f096b90-e32c-4067-9fac-ddf465d18ce0,2024-04-21,79461,Male,Home,Curtains,3,408.41,1225.23,Cash,Port Harcourt,Online,4.9
dbd9b997-845c-48b9-8b2e-7e21035c7821,2025-02-05,56422,Male,Clothing,Jacket,1,480.54,480.54,Credit Card,Ibadan,Online,4.8
22f2b749-ce66-44b4-b09b-6895d63c9846,2024-09-28,77346,Male,Home,Table,1,174.81,174.81,Transfer,Port Harcourt,Online,2.6
ddc7f478-0f44-4f24-bcfe-230eebb66c4d,2024-11-03,52147,Female,Beauty,Soap,5,280.85,1404.25,Credit Card,Ibadan,Online,2.2
222a8cfc-26e6-4422-bdcf-5a487a0197f3,2024-09-19,92194,Male,Groceries,Milk,8,412.39,3299.12,Cash,Kano,In-store,3.4
